length,F(x),count
1,0.503252,122314
2,0.723720,53584
3,0.819163,23197
4,0.870478,12472
5,0.905496,8511
6,0.927183,5271
7,0.941830,3560
8,0.951454,2339
9,0.960489,2196
10,0.967455,1693
11,0.972211,1156
12,0.976675,1085
13,0.979983,804
14,0.982489,609
15,0.984349,452
16,0.986229,457
17,0.987554,322
18,0.988722,284
19,0.989846,273
20,0.990998,280
21,0.992039,253
22,0.992738,170
23,0.993376,155
24,0.993989,149
25,0.994631,156
26,0.995063,105
27,0.995515,110
28,0.995803,70
29,0.996050,60
30,0.996346,72
31,0.996643,72
32,0.996861,53
33,0.997079,53
34,0.997223,35
35,0.997334,27
36,0.997515,44
37,0.997733,53
38,0.997811,19
39,0.997926,28
40,0.998009,20
41,0.998091,20
42,0.998144,13
43,0.998309,40
44,0.998362,13
45,0.998391,7
46,0.998432,10
47,0.998498,16
48,0.998543,11
49,0.998576,8
50,0.998638,15
51,0.998696,14
52,0.998782,21
53,0.998827,11
54,0.998864,9
55,0.998976,27
56,0.999033,14
57,0.999177,35
58,0.999226,12
59,0.999259,8
60,0.999309,12
61,0.999342,8
62,0.999375,8
63,0.999412,9
64,0.999445,8
65,0.999465,5
66,0.999469,1
67,0.999523,13
68,0.999535,3
69,0.999539,1
70,0.999593,13
71,0.999597,1
72,0.999613,4
73,0.999626,3
74,0.999630,1
75,0.999646,4
76,0.999667,5
79,0.999671,1
80,0.999679,2
81,0.999683,1
84,0.999687,1
90,0.999691,1
91,0.999720,7
92,0.999733,3
93,0.999737,1
95,0.999741,1
99,0.999749,2
100,0.999757,2
104,0.999765,2
105,0.999774,2
106,0.999782,2
108,0.999790,2
109,0.999794,1
114,0.999798,1
115,0.999803,1
117,0.999811,2
123,0.999815,1
124,0.999819,1
129,0.999823,1
131,0.999827,1
132,0.999831,1
133,0.999844,3
134,0.999852,2
144,0.999856,1
145,0.999897,10
147,0.999901,1
149,0.999905,1
152,0.999914,2
153,0.999922,2
154,0.999926,1
157,0.999930,1
158,0.999934,1
160,0.999938,1
168,0.999942,1
234,0.999947,1
236,0.999951,1
246,0.999955,1
265,0.999959,1
278,0.999963,1
282,0.999971,2
283,0.999975,1
286,0.999979,1
287,0.999984,1
289,0.999988,1
292,0.999992,1
297,0.999996,1
298,1.000000,1
